CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,EstimatedSalary,Exited,,,,,,
15634602,Hargrave,619,France,Female,42,2,0,101349,1,,,,,AGE,
15647311,Hill,608,Spain,Female,41,1,83808,112543,0,,,,,,
15619304,Onio,502,France,Female,42,8,159661,113932,1,,,,,Mean,38.9218
15701354,Boni,699,France,Female,39,1,0,93827,0,,,,,Standard Error,0.104878065
15737888,Mitchell,850,Spain,Female,43,2,125511,79084,0,,,,,Median,37
15574012,Chu,645,Spain,Male,44,8,113756,149757,1,,,,,Mode,37
15592531,Bartlett,822,France,Male,50,7,0,10063,0,,,,,Standard Deviation,10.48780645
15656148,Obinna,376,Germany,Female,29,4,115047,119347,1,,,,,Sample Variance,109.9940842
15792365,He,501,France,Male,44,4,142051,74941,0,,,,,Kurtosis,1.395347062
15592389,H?,684,France,Male,27,2,134604,71726,0,,,,,Skewness,1.011320263
15767821,Bearce,528,France,Male,31,6,102017,80181,0,,,,,Range,74
15737173,Andrews,497,Spain,Male,24,3,0,76390,0,,,,,Minimum,18
15632264,Kay,476,France,Female,34,10,0,26261,0,,,,,Maximum,92
15691483,Chin,549,France,Female,25,5,0,190858,0,,,,,Sum,389218
15600882,Scott,635,Spain,Female,35,7,0,65952,0,,,,,Count,10000
15643966,Goforth,616,Germany,Male,45,3,143129,64327,0,,,,,Largest(1),92
15737452,Romeo,653,Germany,Male,58,1,132603,5098,1,,,,,Smallest(1),18
15788218,Henderson,549,Spain,Female,24,9,0,14406,0,,,,,Confidence Level(95.0%),0.205582115
15661507,Muldrow,587,Spain,Male,45,6,0,158685,0,,,,,,
15568982,Hao,726,France,Female,24,6,0,54724,0,,,,,,
15577657,McDonald,732,France,Male,41,8,0,170886,0,,,,,Credit Score,
15597945,Dellucci,636,Spain,Female,32,8,0,138555,0,,,,,,
15699309,Gerasimov,510,Spain,Female,38,4,0,118914,1,,,,,Mean,650.5288
15725737,Mosman,669,France,Male,46,3,0,8488,0,,,,,Standard Error,0.966532987
15625047,Yen,846,France,Female,38,5,0,187616,0,,,,,Median,652
15738191,Maclean,577,France,Male,25,3,0,124508,0,,,,,Mode,850
15736816,Young,756,Germany,Male,36,2,136816,170042,0,,,,,Standard Deviation,96.65329874
15700772,Nebechi,571,France,Male,44,9,0,38433,0,,,,,Sample Variance,9341.860157
15728693,McWilliams,574,Germany,Female,43,3,141349,100187,0,,,,,Kurtosis,-0.425725685
15656300,Lucciano,411,France,Male,29,0,59697,53483,0,,,,,Skewness,-0.071606608
15589475,Azikiwe,591,Spain,Female,39,3,0,140469,1,,,,,Range,500
15706552,Odinakachukwu,533,France,Male,36,7,85312,156732,0,,,,,Minimum,350
15750181,Sanderson,553,Germany,Male,41,9,110113,81899,0,,,,,Maximum,850
15659428,Maggard,520,Spain,Female,42,6,0,34411,0,,,,,Sum,6505288
15732963,Clements,722,Spain,Female,29,9,0,142033,0,,,,,Count,10000
15794171,Lombardo,475,France,Female,45,0,134264,27823,1,,,,,Largest(1),850
15788448,Watson,490,Spain,Male,31,3,145260,114067,0,,,,,Smallest(1),350
15729599,Lorenzo,804,Spain,Male,33,7,76549,98453,0,,,,,Confidence Level(95.0%),1.894599183
15717426,Armstrong,850,France,Male,36,7,0,40813,0,,,,,,
15585768,Cameron,582,Germany,Male,41,6,70349,178074,0,,,,,,
15619360,Hsiao,472,Spain,Male,40,4,0,70154,0,,,,,,
15738148,Clarke,465,France,Female,51,8,122522,181298,1,,,,,,
15687946,Osborne,556,France,Female,61,2,117419,94154,0,,,,,,
15755196,Lavine,834,France,Female,49,2,131395,194366,1,,,,,,
15684171,Bianchi,660,Spain,Female,61,5,155931,158338,0,,,,,,
15754849,Tyler,776,Germany,Female,32,4,109421,126517,0,,,,,,
15602280,Martin,829,Germany,Female,27,9,112046,119708,1,,,,,,
15771573,Okagbue,637,Germany,Female,39,9,137844,117623,1,,,,,,
15766205,Yin,550,Germany,Male,38,2,103391,90878,0,,,,,,
15771873,Buccho,776,Germany,Female,37,2,103769,194099,0,,,,,,
15616550,Chidiebele,698,Germany,Male,44,10,116363,198059,0,,,,,,
15768193,Trevisani,585,Germany,Male,36,5,146051,86425,0,,,,,,
15683553,O'Brien,788,France,Female,33,5,0,116978,0,,,,,,
15702298,Parkhill,655,Germany,Male,41,8,125562,164041,1,,,,,,
15569590,Yoo,601,Germany,Male,42,1,98496,40015,1,,,,,,
15760861,Phillipps,619,France,Male,43,1,125212,113410,0,,,,,,
15630053,Tsao,656,France,Male,45,5,127864,87108,0,,,,,,
15647091,Endrizzi,725,Germany,Male,19,0,75888,45614,0,,,,,,
15623944,T'ien,511,Spain,Female,66,4,0,1643,1,,,,,,
15804771,Velazquez,614,France,Male,51,4,40686,46775,0,,,,,,
15651280,Hunter,742,Germany,Male,35,5,136857,84510,0,,,,,,
15773469,Clark,687,Germany,Female,27,9,152329,126495,0,,,,,,
15702014,Jeffrey,555,Spain,Male,33,1,56085,178798,0,,,,,,
15751208,Pirozzi,684,Spain,Male,56,8,78707,99398,0,,,,,,
15592461,Jackson,603,Germany,Male,26,4,109166,92841,0,,,,,,
15789484,Hammond,751,Germany,Female,36,6,169831,27758,0,,,,,,
15696061,Brownless,581,Germany,Female,34,1,101633,110432,0,,,,,,
15641582,Chibugo,735,Germany,Male,43,10,123180,196673,0,,,,,,
15638424,Glauert,661,Germany,Female,35,5,150726,113657,0,,,,,,
15755648,Pisano,675,France,Female,21,8,98373,18203,0,,,,,,
15703793,Konovalova,738,Germany,Male,58,2,133745,28374,1,,,,,,
15620344,McKee,813,France,Male,29,6,0,33954,0,,,,,,
15812518,Palermo,657,Spain,Female,37,0,163607,44204,0,,,,,,
15779052,Ballard,604,Germany,Female,25,5,157781,58427,0,,,,,,
15770811,Wallace,519,France,Male,36,9,0,145562,0,,,,,,
15780961,Cavenagh,735,France,Female,21,1,178718,22388,0,,,,,,
15614049,Hu,664,France,Male,55,8,0,139162,0,,,,,,
15662085,Read,678,France,Female,32,9,0,148211,0,,,,,,
15575185,Bushell,757,Spain,Male,33,5,77253,194240,0,,,,,,
15803136,Postle,416,Germany,Female,41,10,122190,98302,0,,,,,,
15706021,Buley,665,France,Female,34,1,96646,171414,0,,,,,,
15663706,Leonard,777,France,Female,32,2,0,136458,1,,,,,,
15641732,Mills,543,France,Female,36,3,0,26020,0,,,,,,
15701164,Onyeorulu,506,France,Female,34,4,90308,159235,0,,,,,,
15738751,Beit,493,France,Female,46,4,0,1908,0,,,,,,
15805254,Ndukaku,652,Spain,Female,75,10,0,114676,0,,,,,,
15762418,Gant,750,Spain,Male,22,3,121682,128643,1,,,,,,
15625759,Rowley,729,France,Male,30,9,0,151869,0,,,,,,
15622897,Sharpe,646,France,Female,46,4,0,93251,1,,,,,,
15767954,Osborne,635,Germany,Female,28,3,81624,156791,0,,,,,,
15757535,Heap,647,Spain,Female,44,5,0,174205,1,,,,,,
15731511,Ritchie,808,France,Male,45,7,118627,147132,0,,,,,,
15809248,Cole,524,France,Female,36,10,0,109615,0,,,,,,
15640635,Capon,769,France,Male,29,8,0,172291,0,,,,,,
15676966,Capon,730,Spain,Male,42,4,0,85982,0,,,,,,
15699461,Fiorentini,515,Spain,Male,35,10,176274,121278,0,,,,,,
15738721,Graham,773,Spain,Male,41,9,102827,64595,0,,,,,,
15693683,Yuille,814,Germany,Male,29,8,97086,197276,0,,,,,,
15604348,Allard,710,Spain,Male,22,8,0,99645,0,,,,,,
15633059,Fanucci,413,France,Male,34,9,0,6534,0,,,,,,
15808582,Fu,665,France,Female,40,6,0,161848,0,,,,,,
15743192,Hung,623,France,Female,44,6,0,167162,0,,,,,,
15580146,Hung,738,France,Male,31,9,82674,41971,0,,,,,,
15776605,Bradley,528,Spain,Male,36,7,0,60537,0,,,,,,
15804919,Dunbabin,670,Spain,Female,65,1,0,177656,1,,,,,,
15613854,Mauldon,622,Spain,Female,46,4,107073,30985,1,,,,,,
15599195,Stiger,582,Germany,Male,32,1,88939,10055,0,,,,,,
15812878,Parsons,785,Germany,Female,36,2,99807,36977,0,,,,,,
15602312,Walkom,605,Spain,Male,33,5,150093,71863,0,,,,,,
15744689,T'ang,479,Germany,Male,35,9,92834,99450,1,,,,,,
15803526,Eremenko,685,Germany,Male,30,3,90537,63083,0,,,,,,
15665790,Rowntree,538,Germany,Male,39,7,108055,27231,0,,,,,,
15715951,Thorpe,562,France,Male,42,2,100238,86797,0,,,,,,
15591100,Chiemela,675,Spain,Male,36,9,106191,22994,0,,,,,,
15609618,Fanucci,721,Germany,Male,28,9,154476,101301,1,,,,,,
15675522,Ko,628,Germany,Female,30,9,132351,74169,0,,,,,,
15705512,Welch,668,Germany,Female,37,6,167864,115638,0,,,,,,
15698028,Duncan,506,France,Female,41,1,0,31766,0,,,,,,
15661670,Chidozie,524,Germany,Female,31,8,107819,199725,1,,,,,,
15600781,Wu,699,Germany,Male,34,4,185174,120834,0,,,,,,
15682472,Culbreth,828,France,Male,34,8,129433,38132,0,,,,,,
15580203,Kennedy,674,Spain,Male,39,6,120193,100131,0,,,,,,
15690673,Cameron,656,France,Female,39,6,0,141070,0,,,,,,
15760085,Calabresi,684,Germany,Female,48,10,126384,198129,0,,,,,,
15779659,Zetticci,625,France,Female,28,3,0,183646,0,,,,,,
15627360,Fuller,432,France,Male,42,9,152603,110265,1,,,,,,
15671137,MacDonald,549,France,Female,52,1,0,8636,1,,,,,,
15782688,Piccio,625,Germany,Male,56,0,148507,46824,1,,,,,,
15575492,Kennedy,828,France,Female,41,7,0,171379,0,,,,,,
15591607,Fernie,770,France,Male,24,9,101827,167256,0,,,,,,
15740404,He,758,France,Female,34,3,0,124226,0,,,,,,
15718369,Kaodilinakachukwu,795,Germany,Female,33,9,130862,114935,0,,,,,,
15677871,Cocci,687,France,Male,38,9,122571,35609,0,,,,,,
15642004,Alekseeva,686,France,Male,25,1,0,16459,0,,,,,,
15712543,Chinweike,789,Germany,Male,39,7,124828,124411,0,,,,,,
15584518,Arthur,589,Germany,Female,50,5,144895,34941,0,,,,,,
15802381,Li,461,Germany,Female,34,5,63664,167784,0,,,,,,
15610156,Ma,637,France,Male,40,2,133463,93165,0,,,,,,
15594408,Chia,584,Spain,Female,48,2,213146,75161,1,,,,,,
15640905,Vasin,579,Spain,Female,35,1,129490,8591,1,,,,,,
15698932,Groves,756,Germany,Male,44,10,137452,189544,0,,,,,,
15724944,Tien,663,France,Male,34,7,0,180427,0,,,,,,
15628145,Forwood,682,France,Female,43,5,125852,193318,0,,,,,,
15713483,Greeves,793,Spain,Male,52,2,0,159124,1,,,,,,
15612350,Taylor,691,France,Female,31,5,40916,126214,1,,,,,,
15800703,Madukwe,485,Spain,Female,21,5,113157,54142,0,,,,,,
15705707,Bennelong,635,Spain,Female,29,8,138297,141076,0,,,,,,
15754105,Olisanugo,650,France,Male,37,5,106967,24495,0,,,,,,
15703264,Chukwufumnanya,735,France,Male,44,9,120682,74836,0,,,,,,
15794413,Harris,416,France,Male,32,0,0,879,0,,,,,,
15650237,Morgan,754,Spain,Female,32,7,0,89521,0,,,,,,
15759618,Alexeeva,535,France,Female,48,9,0,149893,1,,,,,,
15811589,Metcalfe,716,Spain,Male,42,8,0,180800,0,,,,,,
15689044,Humphries,539,France,Male,37,2,127610,98646,0,,,,,,
15709368,Milne,614,France,Female,43,6,0,109042,0,,,,,,
15679145,Chou,706,Spain,Male,57,7,0,17941,1,,,,,,
15655007,Li,758,France,Female,33,7,0,82996,0,,,,,,
15623595,Clayton,586,Spain,Female,28,2,0,92067,0,,,,,,
15589975,Maclean,646,France,Female,73,6,97259,104720,0,,,,,,
15804017,Chigolum,631,Germany,Female,33,4,123247,112688,0,,,,,,
15692132,Wilkinson,717,Spain,Female,22,6,101060,84700,0,,,,,,
15641122,Wei,684,France,Male,30,2,0,83474,0,,,,,,
15630910,Treacy,800,France,Female,49,7,108007,47125,0,,,,,,
15680772,Hu,721,Spain,Female,36,2,0,106978,0,,,,,,
15658929,Taverner,683,Spain,Male,29,0,133703,55583,1,,,,,,
15585388,Sherman,660,Germany,Male,31,9,125190,139874,0,,,,,,
15724623,Taubman,704,Germany,Female,24,7,113034,162503,1,,,,,,
15588537,Robinson,615,Spain,Female,41,9,109013,196500,0,,,,,,
15574692,Pinto,667,Spain,Female,39,2,0,40721,1,,,,,,
15611325,Wood,682,Germany,Male,24,9,57930,53134,0,,,,,,
15587562,Hawkins,484,France,Female,29,4,130114,164018,0,,,,,,
15613172,Sun,628,Germany,Male,27,5,95826,155997,0,,,,,,
